,date,mean_distilbert,PE_distilbert
0,2012-01-01,0.016254990922435018,0.0
1,2012-01-02,0.010141143183258695,-0.006113847739176323
2,2012-01-03,0.010758340773792731,-0.0048852653747246556
3,2012-01-04,0.018941706504847344,0.0037866268938024222
4,2012-01-05,0.00394258546572171,-0.011591156834703454
5,2012-01-06,0.01714343492577971,0.0027688083088248903
6,2012-01-07,0.00438987912198305,-0.010261628325854259
7,2012-01-08,0.002077968719253989,-0.011547375895997893
8,2012-01-09,0.016603808571453507,0.004133201545801414
9,2012-01-10,0.017293794359933112,0.004409867179700877
10,2012-01-11,0.017445738901752397,0.004120825003550075
11,2012-01-12,0.026577020281970253,0.012840023883412923
12,2012-01-13,0.0029133964302874727,-0.012107602356611149
13,2012-01-14,0.009837957847485037,-0.003972280703752469
14,2012-01-15,0.010099266581564686,-0.003313743899297573
15,2012-01-16,0.008273389013607545,-0.004808247077324957
16,2012-01-17,0.0048674669751242365,-0.00773334440807577
17,2012-01-18,0.013558776577701744,0.0017312996353093142
18,2012-01-19,0.006436816174682416,-0.005563790731240945
19,2012-01-20,0.0026383779744600217,-0.008805849858339244
20,2012-01-21,0.004902505998490801,-0.00566113684847454
21,2012-01-22,0.0033840900402497915,-0.006613439121868095
22,2012-01-23,0.0055072829774834905,-0.0038289022724475857
23,2012-01-24,0.011491245396271763,0.0025379503735854445
24,2012-01-25,0.012307826437800078,0.0031007363777552158
25,2012-01-26,0.013868624580763456,0.0043514608829430725
26,2012-01-27,0.0061093115535185896,-0.0038429982325961006
27,2012-01-28,0.015442398584468674,0.005874388621613595
28,2012-01-29,0.014489924948188926,0.004334476123172488
29,2012-01-30,0.00455971413406794,-0.006029182303265747
30,2012-01-31,0.017791063069943856,0.007805084862936743
31,2012-02-01,0.01235324897745455,0.0015867622841537633
32,2012-02-02,0.0041984117032997014,-0.006726751218416462
33,2012-02-03,0.008007722953055747,-0.002244764846818771
34,2012-02-04,0.011207092327650544,0.001179081012457903
35,2012-02-05,0.002203821565162752,-0.00794209785127568
36,2012-02-06,0.006644582418143361,-0.0027071272131675038
37,2012-02-07,0.0026886025141356594,-0.0063923943958584546
38,2012-02-08,0.0034191063856799137,-0.005022651084728356
39,2012-02-09,0.0027638848420610362,-0.0051756075198743975
40,2012-02-10,0.01748831956286093,0.010066387952912936
41,2012-02-11,0.01321415963739674,0.004785589232157451
42,2012-02-12,0.015167213567386153,0.006260084238931119
43,2012-02-13,0.016769752356401865,0.007236614604053719
44,2012-02-14,0.011140434775527444,0.0008836355627739254
45,2012-02-15,0.008162931739061557,-0.002182231029969355
46,2012-02-16,0.015851047823598443,0.005724108157564467
47,2012-02-17,0.007525994212843129,-0.0031733562689472946
48,2012-02-18,0.012127314975684644,0.00174530012078895
49,2012-02-19,0.0029892739338329938,-0.0075672709331415944
50,2012-02-20,0.013853534788914663,0.004053717015254234
51,2012-02-21,0.010320965908387946,0.00011577643320209371
52,2012-02-22,0.004779264621828339,-0.0054375024966777236
53,2012-02-23,0.009093595622787403,-0.0005794212460508881
54,2012-02-24,0.007858063798897839,-0.0017570109453353636
55,2012-02-25,0.010161936976119066,0.0007225633264193992
56,2012-02-26,0.008317230343664002,-0.0011943996386776044
57,2012-02-27,0.0061442222897606065,-0.003247967728713239
58,2012-02-28,0.024349753340401258,0.015282360094798737
59,2012-02-29,0.009468202547848198,-0.0011274267072341974
60,2012-03-01,0.005614107188106999,-0.004868779396251976
61,2012-03-02,0.003563248180901832,-0.006432760463831946
62,2012-03-03,0.01334978200205382,0.0039970494037032366
63,2012-03-04,0.0038668103795439605,-0.005885627159176947
64,2012-03-05,0.01157614291223576,0.002412268089432547
65,2012-03-06,0.004072348991139682,-0.005332752640606786
66,2012-03-07,0.010463070606056087,0.0015912442383702978
67,2012-03-08,0.024682468648576636,0.015651517857053817
68,2012-03-09,0.005812938904684848,-0.004783163672543353
69,2012-03-10,0.009472913607991783,-0.0006448726019820817
70,2012-03-11,0.010062659149503885,9.360199728228671e-06
71,2012-03-12,0.012995057701063472,0.002940822731314994
72,2012-03-13,0.011841378593640917,0.0014930613507609398
73,2012-03-14,0.009428987946041552,-0.0010686354319145198
74,2012-03-15,0.0046607348869656074,-0.005730024947799012
75,2012-03-16,0.013003655236426288,0.0031858978964415686
76,2012-03-17,0.0036273457123967663,-0.0065090014172321095
77,2012-03-18,0.01764311786402681,0.008157670876121147
78,2012-03-19,0.008117366166072783,-0.002183847909444996
79,2012-03-20,0.017874088429598436,0.007791259145025157
80,2012-03-21,0.00798943009879553,-0.0028725251002802658
81,2012-03-22,0.00870746581798506,-0.0018672368710627094
82,2012-03-23,0.0058894543782125365,-0.004498524623728961
83,2012-03-24,0.006254594237996974,-0.0036835323015716277
84,2012-03-25,0.005159925845377523,-0.004409847464033916
85,2012-03-26,0.012002040024069573,0.002873251461061526
86,2012-03-27,0.005281934240701911,-0.004134179468412289
87,2012-03-28,0.0038816595732703114,-0.005121036189002659
88,2012-03-29,0.018399913255475072,0.009909321112102368
89,2012-03-30,0.004495102403601747,-0.004986421850981195
90,2012-03-31,0.006618853842055062,-0.0023640282274297597
91,2012-04-01,0.006433413318852483,-0.002313065927889362
92,2012-04-02,0.022267498958244637,0.013752326304291728
93,2012-04-03,0.02335253315584335,0.013462127871461269
94,2012-04-04,0.0038760566941579548,-0.007360561377370255
95,2012-04-05,0.02257685744344984,0.012076295509658658
96,2012-04-06,0.0027788456268031873,-0.008929345857953862
97,2012-04-07,0.005141682902249107,-0.0056735739967125574
98,2012-04-08,0.005318333454385886,-0.004929566044904523
