,date,mean_roberta,PE_roberta
0,2012-01-01,0.24645706706617335,0.0
1,2012-01-02,0.18699388678318687,-0.05946318028298647
2,2012-01-03,0.21842593260477355,-0.022084816433101145
3,2012-01-04,0.26457125172865664,0.026268984334092055
4,2012-01-05,0.22589170930616093,-0.015037456521812875
5,2012-01-06,0.19325947224036158,-0.04616594793543094
6,2012-01-07,0.25414229283811557,0.019333467455866143
7,2012-01-08,0.23145475110206276,-0.005287421025773287
8,2012-01-09,0.2433326995120997,0.007119269486840996
9,2012-01-10,0.2242469361327453,-0.012678420841197524
10,2012-01-11,0.23772616140311584,0.0020686465132927767
11,2012-01-12,0.21915946543896384,-0.016704914102188495
12,2012-01-13,0.19228802047209026,-0.041905867658843216
13,2012-01-14,0.2192126093528702,-0.010790692012178943
14,2012-01-15,0.22753440868342295,-0.0013898234804083087
15,2012-01-16,0.20012647277683737,-0.02865877703895306
16,2012-01-17,0.24023222467729025,0.014312852565395134
17,2012-01-18,0.2397984198736841,0.012447762505249482
18,2012-01-19,0.16279718110046815,-0.06579825251849142
19,2012-01-20,0.1785692332778126,-0.04344637508929783
20,2012-01-21,0.20704572233401675,-0.01062524852416391
21,2012-01-22,0.20291144500284405,-0.013697001002920206
22,2012-01-23,0.19635849807680716,-0.01888024782866507
23,2012-01-24,0.23071565769200947,0.017364936569403744
24,2012-01-25,0.2035886146195099,-0.011498600160036204
25,2012-01-26,0.22439681357413066,0.010459458810588185
26,2012-01-27,0.20439679162033522,-0.010586509024266083
27,2012-01-28,0.25031633295161143,0.036391683209436726
28,2012-01-29,0.2427624168465971,0.025198598783478743
29,2012-01-30,0.1978326571903141,-0.02225102075115215
30,2012-01-31,0.19803920971493685,-0.019819366151414164
31,2012-02-01,0.17363298260865526,-0.042243656642554334
32,2012-02-02,0.21804936115412987,0.006397087567175719
33,2012-02-03,0.22164211048921956,0.009350128145547837
34,2012-02-04,0.25072163802497416,0.03749464286674764
35,2012-02-05,0.2511258090186554,0.034149349573754095
36,2012-02-06,0.2287698575361178,0.008378463133841108
37,2012-02-07,0.20767856587482683,-0.01355067484083397
38,2012-02-08,0.23985829943144704,0.01998412619986964
39,2012-02-09,0.2623217950327013,0.04044920918113695
40,2012-02-10,0.21833052011686446,-0.007586986652813599
41,2012-02-11,0.2537743035671783,0.02861549546278158
42,2012-02-12,0.21551192690103504,-0.01250843074963981
43,2012-02-13,0.2506990381568903,0.023929523581179446
44,2012-02-14,0.2505079569283407,0.021345489994511885
45,2012-02-15,0.2365932497374325,0.005296233804152506
46,2012-02-16,0.08500450047897172,-0.14682213883472356
47,2012-02-17,0.21153997433788363,-0.005604451092339285
48,2012-02-18,0.23282875826167823,0.016244777940689237
49,2012-02-19,0.22171681755355427,0.003508359438496339
50,2012-02-20,0.23810723336383083,0.019547939304923267
51,2012-02-21,0.1639436896459665,-0.05657039834343339
52,2012-02-22,0.21584533927921026,0.0009882911241537173
53,2012-02-23,0.29579438077402304,0.08083850350655111
54,2012-02-24,0.2140095905965427,-0.009030137021584339
55,2012-02-25,0.2179471193649806,-0.004189594550988024
56,2012-02-26,0.21785665535571752,-0.0038610991051523103
57,2012-02-27,0.20056201142724603,-0.02076963312310856
58,2012-02-28,0.1898502171501106,-0.029404464087933124
59,2012-02-29,0.2007145486024092,-0.015599686226841214
60,2012-03-01,0.2174673932399741,0.002713127033407814
61,2012-03-02,0.20162119500306272,-0.013404383906844342
62,2012-03-03,0.1940103541436838,-0.019674786375538822
63,2012-03-04,0.19682361707957133,-0.014894044802097411
64,2012-03-05,0.2066576854995219,-0.003570571901937103
65,2012-03-06,0.22808257104828955,0.01821137083702426
66,2012-03-07,0.23620685460818136,0.024514517313213635
67,2012-03-08,0.19118880637807353,-0.02295498264821555
68,2012-03-09,0.18057048963465153,-0.031277801126815996
69,2012-03-10,0.13965979593514927,-0.06906071471363665
70,2012-03-11,0.161979748714366,-0.039834690463056266
71,2012-03-12,0.20391396316114682,0.0060829930300301815
72,2012-03-13,0.17002585547246113,-0.02841341396165853
73,2012-03-14,0.18820466298435348,-0.007393265053600329
74,2012-03-15,0.17876948960343067,-0.016089111929163097
75,2012-03-16,0.15273393715448655,-0.040515753185190906
76,2012-03-17,0.18510526724625379,-0.004092847774904568
77,2012-03-18,0.18757528686488512,-0.0012135433787827665
78,2012-03-19,0.17906525750178845,-0.009602218404001162
79,2012-03-20,0.17606220435735656,-0.011645049708032928
80,2012-03-21,0.18062195706239437,-0.005920792032191841
81,2012-03-22,0.18487914482713677,-0.0010715250642302498
82,2012-03-23,0.21309645544810854,0.027252938063164533
83,2012-03-24,0.24516741459141486,0.05659860340015441
84,2012-03-25,0.171082041795469,-0.023146629735806917
85,2012-03-26,0.20860764350625685,0.01669363494856163
86,2012-03-27,0.20244370971107856,0.008860337658527173
87,2012-03-28,0.1997527802467812,0.005283374428377091
88,2012-03-29,0.21823165324123472,0.023233909979992917
89,2012-03-30,0.2433794137276709,0.0460582794684298
90,2012-03-31,0.20711209950909829,0.005185137303014203
91,2012-04-01,0.201686341407476,-0.0007591345289095219
92,2012-04-02,0.21652322014964812,0.014153657666153563
93,2012-04-03,0.21345384618869484,0.009668917938584931
94,2012-04-04,0.19808689157303888,-0.006664928470929532
95,2012-04-05,0.2465672188566532,0.042481891659777726
96,2012-04-06,0.19919548333331477,-0.009138033029538473
97,2012-04-07,0.23486881789634936,0.027449104836449967
98,2012-04-08,0.27440751921618356,0.06424289567263916
99,2012-04-09,0.1798596696533037,-0.03672924345750461
