,date,mean_pysent,PE_pysent
0,2013-01-01,0.04759264371611855,0.0
1,2013-01-02,-0.07738801091909409,-0.12498065463521263
2,2013-01-03,-0.06634066497261201,-0.1014352432252093
3,2013-01-04,-0.0666583509900462,-0.09160940492012255
4,2013-01-05,-0.03409219102643842,-0.04988230446450252
5,2013-01-06,-0.024019895649667996,-0.034821778641281845
6,2013-01-07,-0.021422514021396638,-0.0287422191488823
7,2013-01-08,-0.03198221820083695,-0.036427701413434384
8,2013-01-09,-0.14640468599820378,-0.14720739906945776
9,2013-01-10,0.0367838345994853,0.05070186143517709
10,2013-01-11,-0.026024702955130957,-0.017176862262956883
11,2013-01-12,-0.03779625426977873,-0.027230727351308964
12,2013-01-13,-0.15221607263642128,-0.13892747298282063
13,2013-01-14,-0.05139873125268228,-0.02421738430079956
14,2013-01-15,-0.07819873350437241,-0.04859564812240973
15,2013-01-16,0.008807612210512161,0.04327026240471581
16,2013-01-17,0.021966585005172574,0.05210220895890465
17,2013-01-18,-0.022457184940576552,0.002468218117265053
18,2013-01-19,-0.05712594507170505,-0.03244736382558995
19,2013-01-20,-0.057218741110669886,-0.02929542348199579
20,2013-01-21,-0.0979999104142189,-0.06714705043734523
21,2013-01-22,-0.15324262954011747,-0.11567506451950926
22,2013-01-23,-0.01681209988330477,0.03232297158925436
23,2013-01-24,-0.09689021050930023,-0.05098743619566654
24,2013-01-25,-0.11968069523572922,-0.06867917730252887
25,2013-01-26,-0.07125667228418238,-0.013387236620729145
26,2013-01-27,-0.16993634517376238,-0.11072818584823624
27,2013-01-28,0.06530619874978677,0.13558717666013653
28,2013-01-29,-0.35238692833452806,-0.29566466809019193
29,2013-01-30,-0.1528322879493851,-0.0665435608960298
30,2013-01-31,-0.07675940096378327,0.016183682179175027
31,2013-02-01,-0.030846316161467203,0.060478398763573596
32,2013-02-02,-0.1197637753053145,-0.034486900256631065
33,2013-02-03,-0.020073302635332434,0.0686522624390141
34,2013-02-04,-0.02757652410909758,0.05428381472134754
35,2013-02-05,-0.0840107411146164,-0.007578783756306037
36,2013-02-06,0.0551874613521075,0.13237729708604845
37,2013-02-07,-0.11811007612247758,-0.05415797009714146
38,2013-02-08,-0.06980388137427243,-0.0004359783392221678
39,2013-02-09,0.021690911164990178,0.09110241203396266
40,2013-02-10,-0.008775939643383026,0.05152532002219319
41,2013-02-11,0.06203158506795989,0.11718031273131678
42,2013-02-12,-0.029120278656482698,0.014310417733742514
43,2013-02-13,0.013037156447386131,0.055036811064237086
44,2013-02-14,-0.06375247270169884,-0.027256499191271592
45,2013-02-15,-0.05473555691877202,-0.015513933489217611
46,2013-02-16,-0.02361940573023252,0.017153611048243648
47,2013-02-17,0.03624262102884264,0.07530027670249445
48,2013-02-18,0.009254614263772965,0.04078224226717532
49,2013-02-19,-0.008483804762363434,0.01896559901432139
50,2013-02-20,-0.09157451013823849,-0.0660216662629858
51,2013-02-21,-0.015709987986626938,0.016445022514924326
52,2013-02-22,0.09911054478684053,0.12962105303689936
53,2013-02-23,0.13336534494039964,0.15091374788676853
54,2013-02-24,-0.2639113700934473,-0.26145434193575523
55,2013-02-25,-0.15079448574628584,-0.12219202339501828
56,2013-02-26,-0.028290880024433137,0.012530784666336257
57,2013-02-27,-0.032049663252566925,0.0075189229715688435
58,2013-02-28,-0.07406724312088707,-0.03525054919390819
59,2013-03-01,-0.1915052611815748,-0.14916351233520508
60,2013-03-02,0.08404809460043908,0.1413061946803293
61,2013-03-03,0.08925148380461649,0.1323789644164738
62,2013-03-04,-0.17037813912849037,-0.14048855495828047
63,2013-03-05,-0.28265612530829337,-0.23871768564225543
64,2013-03-06,-0.392312512561983,-0.3245023043317195
65,2013-03-07,-0.1378037729347595,-0.03754333427132406
66,2013-03-08,-0.06895304235381697,0.035061729736750896
67,2013-03-09,0.0182526952454022,0.11876129436229498
68,2013-03-10,0.048783941715955736,0.13741641139661903
69,2013-03-11,-0.13178683042526246,-0.05689600188426108
70,2013-03-12,-0.010146173700016348,0.07043425502941114
71,2013-03-13,0.078108941167593,0.15164594439407936
72,2013-03-14,-0.07429593635089507,-0.015923527563816632
73,2013-03-15,0.043458557608139575,0.10342331915159968
74,2013-03-16,0.01967304301022285,0.06929547263852298
75,2013-03-17,-0.14254214056772202,-0.09984925820327419
76,2013-03-18,-0.12682804077863694,-0.07415023259386168
77,2013-03-19,-0.11238742932677269,-0.05229459788261126
78,2013-03-20,-0.06733966143287007,-0.0020173702004475103
79,2013-03-21,-0.025862187147140503,0.039661841105326806
80,2013-03-22,-0.10368869217795942,-0.04213084803602479
81,2013-03-23,-0.06801661834120751,-0.0022456893956703944
82,2013-03-24,-0.10951070517602593,-0.04351520729092177
83,2013-03-25,-0.08565380809894159,-0.015306789484745259
84,2013-03-26,-0.09989539911998577,-0.02801770155731491
85,2013-03-27,-0.09228378624627084,-0.017604318527868493
86,2013-03-28,-0.09046165412993887,-0.014021754558749669
87,2013-03-29,0.009386973232030868,0.08722904825909504
88,2013-03-30,0.03747514459355992,0.10659431479471457
89,2013-03-31,-0.03800574079829844,0.02045399792338476
90,2013-04-01,-0.10123611895405517,-0.04482178002471045
91,2013-04-02,-0.12175549115195419,-0.060858974220138425
92,2013-04-03,-0.3740271036418117,-0.30704468928798206
93,2013-04-04,0.18436632893193308,0.2820532122145609
94,2013-04-05,-0.15961372717541067,-0.09013216511423895
95,2013-04-06,-0.18033995256206106,-0.10184517398946545
96,2013-04-07,0.28582122018842987,0.37450051615997204
97,2013-04-08,-0.10934612787131107,-0.05811688351576611
