,date,mean_pysent,PE_pysent
0,2013-01-01,0.1475973767893655,0.0
1,2013-01-02,0.021402806827896522,-0.12619456996146897
2,2013-01-03,-0.0011663403775956896,-0.1361442601708143
3,2013-01-04,0.07773639638739896,-0.04362709738873821
4,2013-01-05,-0.06610776719294097,-0.1831085512302043
5,2013-01-06,0.08499203990487492,-0.013697889009368011
6,2013-01-07,0.12237517535686493,0.025055035343558796
7,2013-01-08,-0.10551550258234672,-0.20534114613000876
8,2013-01-09,-0.19982037373951503,-0.2791119026741762
9,2013-01-10,-0.12664687633514404,-0.17802721500238755
10,2013-01-11,-0.09037226772513883,-0.12394988489214359
11,2013-01-12,-0.26357333064079286,-0.2847559593185833
12,2013-01-13,0.004391416670784118,0.011684383924852045
13,2013-01-14,-0.0027965990205605826,0.00332792984102214
14,2013-01-15,-0.028960303024009426,-0.02316856714652892
15,2013-01-16,-0.09540927951986139,-0.087300686927728
16,2013-01-17,0.160930087067643,0.1777687483525492
17,2013-01-18,0.0024219143849152766,0.0014837008345665583
18,2013-01-19,0.0,-0.001086583633805374
19,2013-01-20,-0.1656114637851715,-0.16658938905559634
20,2013-01-21,-0.02788288625635842,-0.01220187262122362
21,2013-01-22,-0.11546637030208812,-0.09856516940483095
22,2013-01-23,-0.02229831616083781,0.004459401676902449
23,2013-01-24,-0.11782483191325746,-0.09151305424320745
24,2013-01-25,0.07868599605680716,0.11414907915117792
25,2013-01-26,0.10207485854625702,0.12612303372550998
26,2013-01-27,-0.11423513036902233,-0.10279925856232036
27,2013-01-28,0.09931061919345412,0.12102641685638812
28,2013-01-29,0.141259503364563,0.1508726593418582
29,2013-01-30,0.021192280145791862,0.015718170188901235
30,2013-01-31,0.13317601032116833,0.12613008334538758
31,2013-02-01,0.08721309048788888,0.06755415517756937
32,2013-02-02,0.2903938272169658,0.2639794763888894
33,2013-02-03,0.10660483483719614,0.05379253637023075
34,2013-02-04,-0.0038225839012547545,-0.06201413600524322
35,2013-02-05,0.09169005813883312,0.03969991963536897
36,2013-02-06,0.16602953026692072,0.11006939979991967
37,2013-02-07,0.02297418530170734,-0.04399288514528566
38,2013-02-08,0.1663098164967128,0.10374203456424837
39,2013-02-09,0.12044854462146759,0.04750655923257831
40,2013-02-10,-0.00027669263019990386,-0.07796933394234702
41,2013-02-11,-0.06907356530427933,-0.13896927322219174
42,2013-02-12,-0.26230492762156893,-0.31830370821726217
43,2013-02-13,0.04369580745697022,0.019527397683003198
44,2013-02-14,-0.08086400765639085,-0.1069851571986582
45,2013-02-15,-0.12135640531778336,-0.13677903914018488
46,2013-02-16,-0.23731263194765365,-0.23905736185603668
47,2013-02-17,0.11979498147964478,0.1419559877568654
48,2013-02-18,0.049999764091090144,0.05796517159262424
49,2013-02-19,-0.48818705479304,-0.4860181644507683
50,2013-02-20,-0.24911522406798142,-0.19834451728063293
51,2013-02-21,-0.38660718830008256,-0.31600202978467073
52,2013-02-22,-0.018480300903320312,0.08372506059055856
53,2013-02-23,-0.263141299503437,-0.169308444068614
54,2013-02-24,0.022563521678631123,0.13332722152031554
55,2013-02-25,0.17314238004062488,0.27057335773027774
56,2013-02-26,0.47001622915267943,0.5403898710693045
57,2013-02-27,0.13302106857299806,0.1493557233826927
58,2013-02-28,0.1175365844863144,0.11893566695773979
59,2013-03-01,0.13606656392415364,0.12557207969980505
60,2013-03-02,0.10708705708384514,0.08403536488951603
61,2013-03-03,-0.15163237707955496,-0.18308760576283567
62,2013-03-04,-0.06933336104116132,-0.08247982914815846
63,2013-03-05,0.15956292947133383,0.15466444427915252
64,2013-03-06,-0.08745076134800911,-0.10781569096810566
65,2013-03-07,0.01487017962439307,0.005286819101107084
66,2013-03-08,-0.06746377724076286,-0.07757581967415955
67,2013-03-09,-0.06856020092964173,-0.07091466139562247
68,2013-03-10,-0.06221689899762472,-0.057479893324043206
69,2013-03-11,0.0418422631919384,0.052327258197924234
70,2013-03-12,-0.3230973793303265,-0.3178451101441331
71,2013-03-13,-0.04859539866447449,-0.01155861846386777
72,2013-03-14,-0.34622000102643613,-0.30802735897944267
73,2013-03-15,-0.08544202893972397,-0.016446650994786205
74,2013-03-16,-0.5076450258493423,-0.43700498280492595
75,2013-03-17,-0.2514967695927956,-0.13715622826788662
76,2013-03-18,-0.23682550873075212,-0.10876934457905449
77,2013-03-19,-0.04306637292558497,0.0958667256840181
78,2013-03-20,0.1161143531401952,0.24546077918139647
79,2013-03-21,0.12434281508127848,0.22914316320434008
80,2013-03-22,0.19401017682892932,0.27589620863155695
81,2013-03-23,0.0328601428440639,0.0871565537835358
82,2013-03-24,0.2252031922340393,0.27078394779515763
83,2013-03-25,0.019095182418823242,0.037597543200425805
84,2013-03-26,0.1580294602447086,0.17277206670626857
85,2013-03-27,0.027169685988199146,0.02463508577913227
86,2013-03-28,0.012752976359390631,0.007754867572410527
87,2013-03-29,0.13908830285072327,0.1333147073065021
88,2013-03-30,0.06515621379310009,0.046051147518228724
89,2013-03-31,0.30518372782639097,0.2814735467996967
90,2013-04-01,0.04174489536504636,-0.01011264034161756
91,2013-04-02,0.0718516783511385,0.021005406678636332
92,2013-04-03,0.1323845176672449,0.0794377053268791
93,2013-04-04,0.04335935331053204,-0.017531229562521664
94,2013-04-05,0.058639079332351685,-0.0004983805844498562
95,2013-04-06,0.06601329054032172,0.006925668681965168
96,2013-04-07,0.15707321206525882,0.09729302333870575
97,2013-04-08,0.1535725725251575,0.08406308146473385
98,2013-04-09,0.06657660734362719,-0.011339191863269843
99,2013-04-10,0.16131009562366505,0.084528215603095
