date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,rangers_mask,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,islanders_mask,devils_wins,devils_losses,devils_num_events,devils_ties,devils_mask,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,knicks_mask,mets_wins,mets_losses,mets_num_events,mets_ties,mets_mask,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,yankees_mask,giants_wins,giants_losses,giants_num_events,giants_ties,giants_mask,jets_wins,jets_losses,jets_num_events,jets_ties,jets_mask,nets_wins,nets_losses,nets_num_events,nets_ties,nets_mask,num_events,sum_wins,sum_losses,sports_composite,composite_mask,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,old_sum_pe,mean_pe
19/01/2012,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,1,2,-1,0,0.333333333,0.666666667,-0.621866395,-0.621866395,0.490326705,0.490326705,-0.610892605,-0.610892605,0,,0,,0,,0,,0,,0,,-0.742432295,-0.610892605,-0.742432295,-0.247477432
20/01/2012,,,,,1,0,,,,,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,0,,0,,-0.39997201,-0.39997201,0,,0,,0,,0,,0,,-0.39997201,-0.39997201,-0.39997201,-0.39997201
21/01/2012,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,4,2,2,0,0,0.5,0.5,0.440320245,0.440320245,0.441294035,0.441294035,-0.549803345,-0.549803345,-0.359974809,-0.359974809,0,,0,,0,,0,,0,,-0.028163875,-0.909778154,-0.028163875,-0.007040969
22/01/2012,,,,,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,
23/01/2012,,,,,1,0,0,1,1,0,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,-0.602835369,-0.602835369,0,,0,,0,,0,,0,,0,,0,,-0.602835369,0,-0.602835369,-0.602835369
24/01/2012,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,4,2,2,0,0,0.5,0.5,0.39628822,0.39628822,-0.542551832,-0.542551832,-0.49482301,-0.49482301,0.676022672,0.676022672,0,,0,,0,,0,,0,,0.03493605,0.181199662,0.03493605,0.008734012
25/01/2012,,,,,1,0,,,,,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,0,,0,,-0.391579595,-0.391579595,0,,0,,0,,0,,0,,-0.391579595,-0.391579595,-0.391579595,-0.391579595
26/01/2012,,,,,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,
27/01/2012,,,,,1,0,,,,,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,0,,0,,-0.352421636,-0.352421636,0,,0,,0,,0,,0,,-0.352421636,-0.352421636,-0.352421636,-0.352421636
28/01/2012,,,,,1,0,,,,,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,0,,0,,-0.317179472,-0.317179472,0,,0,,0,,0,,0,,-0.317179472,-0.317179472,-0.317179472,-0.317179472
