date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
29/01/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.523755,0.523755,0,,0,,0,,0,,0,,0,,0.523755,0.523755,0.523755
30/01/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,1,1,0,0.5,0.5,0,,0.479516339,0.479516339,0,,0,,0,,0,,-0.661471938,-0.661471938,-0.181955599,-0.181955599,-0.090977799
31/01/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.5286205,-0.5286205,0,,0,,0,,0,,0,,0,,-0.5286205,-0.5286205,-0.5286205
01/02/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.431564705,0.431564705,0,,0,,0,,0,,0.404675256,0.404675256,0.836239961,0.836239961,0.418119981
02/02/2013,1,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,0,0.52424155,0.52424155,0.388408234,0.388408234,0,,0,,0,,0,,0,,0.912649784,0.912649784,0.456324892
03/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
04/02/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.349567411,0.349567411,0,,0,,0,,0,,0,,0.349567411,0.349567411,0.349567411
05/02/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,2,0,2,-2,0,1,-0.528182605,-0.528182605,0,,0,,0,,0,,0,,-0.63579227,-0.63579227,-1.163974875,-1.163974875,-0.581987437
06/02/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,0,,-0.68538933,-0.68538933,0,,0,,0,,0,,0.427786957,0.427786957,-0.257602373,-0.257602373,-0.128801186
07/02/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.524635656,0.524635656,0,,0,,0,,0,,0,,0,,0.524635656,0.524635656,0.524635656
08/02/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,1,1,0,0.5,0.5,0,,0.383149603,0.383149603,0,,0,,0,,0,,-0.614991738,-0.614991738,-0.231842135,-0.231842135,-0.115921068
09/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
10/02/2013,1,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,0,1,1,0,3,1,2,-1,0.333333333,0.666666667,0.47217209,0.47217209,-0.655165357,-0.655165357,0,,0,,0,,0,,-0.553492565,-0.553492565,-0.736485832,-0.736485832,-0.245495277
11/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,0,,0,,0,,0,,0,,0,,0.501856692,0.501856692,0.501856692,0.501856692,0.501856692
12/02/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.424954881,0.424954881,0,,0,,0,,0,,0,,0,,0.424954881,0.424954881,0.424954881
