ZIP,ZIP,num_residential,num_total,prop_residential
11373,11373,6387,7166,0.8912922132291375
11374,11374,3017,3316,0.9098311218335344
11375,11375,6354,6878,0.9238150625181739
11377,11377,6775,8186,0.8276325433667236
11378,11378,6543,8132,0.8045991146089523
11379,11379,8231,8699,0.9462007127256007
11385,11385,12039,14666,0.8208782217373517
11411,11411,5237,5370,0.9752327746741155
11412,11412,8074,8715,0.9264486517498566
11413,11413,9465,9825,0.9633587786259542
11414,11414,5642,5900,0.956271186440678
11415,11415,1179,1300,0.9069230769230769
11417,11417,5237,5915,0.8853761622992392
11418,11418,4199,5251,0.7996572081508284
11419,11419,6253,7570,0.8260237780713342
11420,11420,8625,9364,0.9210807347287484
11421,11421,5576,6258,0.8910194950463407
11422,11422,6493,6824,0.9514947245017585
11423,11423,4716,5225,0.9025837320574163
11426,11426,4288,4483,0.9565023421815748
11427,11427,4187,4300,0.9737209302325581
11428,11428,3848,4306,0.8936367858801673
11429,11429,5349,5781,0.9252724442138038
11432,11432,5847,6670,0.8766116941529235
11433,11433,5567,6371,0.8738031706168576
11434,11434,9817,10841,0.9055437690249977
11435,11435,5071,6227,0.8143568331459772
11436,11436,4301,4475,0.9611173184357542
11691,11691,6225,6737,0.9240017812082529
11692,11692,1868,2103,0.8882548739895387
11693,11693,1801,1971,0.9137493658041603
11694,11694,3522,3763,0.9359553547701303
11697,11697,18,36,0.5
11416,11416,3289,3947,0.8332911071700025
10463,10463,2095,2465,0.8498985801217038
11370,11370,3912,4096,0.955078125
