,11,10,aa,12,ma,ba,5+6,pro,phd,sc1,7+8,hs,9,ns,n4,sc2,population,population_over_18,income,z_income,mbsa,workforce,mbsa_workforce,z_mbsa_workforce,education,z_education,ses,year,ZIP,desc
10001,0.007731278695445669,0.004063538973032878,0.03398596231991134,0.012903055570214787,0.16531215367565572,0.2934191777930234,0.007071613277745527,0.05026650482875086,0.023536862103541084,0.020502401182120426,0.008733970130349886,0.07256319594701567,0.0052509367248931346,0.008997836297429944,0.008259011029605783,0.07240487624676764,18949.0,17105.0,68821.5,1.235778213004461,0.2991186870019526,0.7160536176051506,0.417786204326084,1.1506296391291984,12.005963375376009,1.3714672836929975,3.7578751358266573,2011.5,10001,Manhattan:Chelsea and Clinton
10002,0.020309344305480637,0.02181466939297766,0.028394194462912553,0.023075379153756414,0.049255491300475435,0.14837487612428968,0.06047016320232823,0.010675263745499704,0.0077398798248805144,0.01684709660423749,0.055370874468432085,0.15613357251276389,0.026211473086041874,0.054417501913017294,0.027741886924997176,0.05917182031436206,79717.0,66634.0,25271.0,-0.40091564269376545,0.1270996148876651,0.4748046213480186,0.2677609116687537,-0.1093779624910963,8.623016420587831,-0.3784152099652295,-0.8887088151500913,2011.5,10002,Manhattan:Lower East Side
10003,0.0065601273309960646,0.004409265910997355,0.021293528057987225,0.004839438194997096,0.18226399673069066,0.3608392661260835,0.0027531026175983482,0.08035618265115178,0.03531714451637881,0.017454240423289524,0.006592390252296044,0.06644010926376014,0.002236895876798658,0.006904265158195857,0.0013227797732992064,0.06381605833136171,46493.0,43013.0,73412.5,1.4103728537805966,0.3591508399113845,0.806745101413116,0.4450353017666028,1.3798948200145436,13.550555997677069,2.170297147202351,4.960564820997491,2011.5,10003,Manhattan:Lower East Side
10004,0.005385117493472585,0.0,0.022193211488250653,0.0,0.16906005221932116,0.30075065274151436,0.0,0.059725848563968675,0.0063642297650130545,0.0097911227154047,0.0,0.04536553524804177,0.0,0.0,0.0,0.06282637075718016,3064.0,2679.0,133228.5,3.662514896272601,0.39262402088772846,0.7036553524804178,0.5582901431752664,2.3346419457337375,10.903067885117492,0.7997476004566373,6.796904442462975,2011.5,10004,Manhattan:Lower Manhattan
10005,0.0,0.00021070375052675936,0.006531816266329541,0.0018963337547408343,0.1511448237111954,0.2522826239640399,0.0,0.06763590391908976,0.015521842955471274,0.004354544177553027,0.0,0.004565247928079786,0.00014046916701783958,0.009762607107739851,0.0,0.04993678887484197,7119.0,6708.0,96711.0,2.285913336759031,0.3303132462424498,0.6406798707683663,0.5154894413335025,1.9731136324537226,9.13211125158028,-0.1187749841853473,4.140251985027406,2011.5,10005,Manhattan:Lower Manhattan
10006,0.0,0.0038193291265360345,0.04400531384921953,0.005812022583859183,0.16854865493191631,0.30205911657256723,0.0,0.0692460976419794,0.037529060112919295,0.0154433742942544,0.0,0.04616406509465294,0.0,0.0,0.0,0.031052806376619065,3011.0,2849.0,95455.5,2.238465099848229,0.4337429425440053,0.7713384257721687,0.562337319243604,2.3680265693893325,11.671205579541681,1.1988465469824043,5.805338216219965,2011.5,10006,Manhattan:Lower Manhattan
10007,0.009728279100972828,0.0038577658503857765,0.014927876551492789,0.006122106675612211,0.15565246561556526,0.28337806105333785,0.009812143575981213,0.10114055686011406,0.056692385105669235,0.015263334451526334,0.01039919490103992,0.04738342837973834,0.007883260650788326,0.0037739013753773903,0.0037739013753773903,0.04360952700436095,5962.0,4767.0,146650.5,4.162275951542872,0.32564575645756455,0.6541429050654143,0.4974659366056767,1.8178180698657702,12.151123783965113,1.4453001477173943,7.425394169126036,2011.5,10007,Manhattan:Lower Manhattan
10009,0.01536017830114931,0.014545182376128936,0.022927997604909933,0.014220847263110624,0.11816609284300517,0.2724165460805349,0.021331270894665934,0.032167390183457246,0.016058746236881062,0.01952663706069225,0.019027659963741,0.10656487533888861,0.013505646757480498,0.021356219749513496,0.014279061257754936,0.06361957986128437,60123.0,52718.0,43905.0,0.2999297824265859,0.2517256291269564,0.6173677294878832,0.4077465843699407,1.0677628473548237,10.93673802039153,0.8182032641783321,2.1858958939597417,2011.5,10009,Manhattan:Lower East Side
10010,0.004911098365357041,0.005251648981932894,0.025810151993117293,0.0021149985661026672,0.1796494121020935,0.3292586750788643,0.0025630914826498424,0.08838184685976484,0.02600731287639805,0.01071838256380843,0.0019895325494694582,0.06303771149985661,0.004427158015486091,0.0031724978491540004,0.0027064812159449383,0.06242830513335245,27896.0,25423.0,85241.5,1.8555280286118667,0.3498351018067106,0.6727846286205907,0.5198319033122079,2.007981635078406,12.837082377401778,1.8019374163768918,5.665447080067164,2011.5,10010,Manhattan:Gramercy Park and Murray Hill
10011,0.003897196069985437,0.008194367526100957,0.029208458966627694,0.005363772485795746,0.1939162718191701,0.34903493118372203,0.0024921543289643713,0.08583061555186347,0.04054109490698009,0.01647078128525424,0.005784259430188911,0.05586322892950177,0.005138145344901852,0.008778946936598774,0.00230755030459664,0.06701126084548643,48753.0,44344.0,109729.5,2.7753888701099854,0.3759871187414108,0.7280064816524111,0.5166174726180153,1.9812724792182133,13.812565380591963,2.3062666097339286,7.062927959062128,2011.5,10011,Manhattan:Chelsea and Clinton
